key,ExposureID,TrafficChannel,SessionDuration,Bounced,PagesperSession,AdDate,CreativeID,ExposureID_1,AdFormat,Viewable,WasClicked,Conversion,SpendonExposure,RevenueGenerated,UserID,SegmentType,Age,Gender,Income,OperatingSystem,Device,Browser,city,state
ZKZ644XYHI,O4620059,SEO,119,Yes,1,21-Jan,C0137,O4620059,Banner,1,0,0,0,0,Uvwjc,Custom Audience,25,Female,40265,iOS,Tablet,Safari,Milwaukee,Wisconsin
3QE4RUP8XO,O3806157,SEO,88,No,3,21-Jan,C0203,O3806157,Carousel,1,0,0,0,0,UqcfI,3P Audience,17,Female,58361,macOS,Laptop,Microsoft Edge,Morgantown,West Virginia
EU9H8GCKWD,P8041034,Paid Search,139,No,3,21-Jan,C0232,P8041034,Video,1,0,0,852,0,UjUgD,3P Audience,55,Male,152843,Windows,Laptop,Microsoft Edge,Huntington,West Virginia
7P0QBGLXPS,O7055220,Direct,142,No,2,21-Jan,C0176,O7055220,Carousel,1,0,0,0,0,UKi2E,3P Audience,44,Male,84781,Android,Smartphone,Microsoft Edge,Huntington,West Virginia
MNQRZLHZRF,O7426736,Direct,105,Yes,1,21-Jan,C0177,O7426736,Carousel,1,1,0,0,0,UU9jv,3P Audience,28,Female,66350,iOS,Smartphone,Safari,Morgantown,West Virginia
1RJWGIARYU,P8079880,Paid Search,177,No,1,21-Jan,C0202,P8079880,Video,1,0,0,818,0,U6fx1,3P Audience,32,Female,61586,iOS,Tablet,Safari,Charleston,West Virginia
AJDSO8FIJ6,P3837368,Paid Search,79,No,3,21-Jan,C0101,P3837368,Video,1,0,0,674,0,UI4HS,1P Audience,19,Female,41723,Android,Smartphone,Microsoft Edge,Charleston,West Virginia
2UKDE2J77O,O8087319,SEO,99,No,3,21-Jan,C0164,O8087319,Banner,0,0,0,0,0,UtUjx,Custom Audience,18,Female,51362,iOS,Smartphone,Safari,Huntington,West Virginia
KRQST6ECC7,O3344388,SEO,378,No,5,21-Jan,C0125,O3344388,Carousel,1,1,1,0,678,UGIgu,Custom Audience,28,Female,64079,iOS,Smartphone,Safari,Spokane,Washington
WX7FBXYBX0,O7047476,Direct,104,No,3,21-Jan,C0118,O7047476,Banner,1,1,0,0,0,UFusg,3P Audience,23,Male,55641,Linux,Laptop,Mozilla Firefox,Seattle,Washington
4QWVG4YU5G,O8716731,Referral,144,Yes,2,21-Jan,C0070,O8716731,Banner,0,0,0,0,0,UK5y3,1P Audience,48,Female,175995,iOS,Smartphone,Safari,Spokane,Washington
BFXC49ZVW3,P4315727,Display,111,Yes,1,21-Jan,C0004,P4315727,Video,1,0,0,884,0,UieXR,1P Audience,52,Male,156076,Windows,Desktop,Microsoft Edge,Spokane,Washington
XJBFQLOL92,P4321024,Display,489,No,6,21-Jan,C0109,P4321024,Carousel,1,1,1,301,407,U7nTA,1P Audience,41,Male,108243,Android,Tablet,Microsoft Edge,Seattle,Washington
N3M9556AA6,O4536860,Direct,95,Yes,2,21-Jan,C0031,O4536860,Banner,1,1,0,0,0,UkxZn,1P Audience,33,Male,77836,macOS,Desktop,Microsoft Edge,Tacoma,Washington
6QKOI1M2SI,P5145414,Display,135,Yes,2,21-Jan,C0247,P5145414,Banner,1,0,0,451,0,UG4UK,Custom Audience,21,Male,43705,iOS,Tablet,Safari,Tacoma,Washington
QGM3VQ95WQ,O5691532,Referral,159,Yes,1,21-Jan,C0015,O5691532,Video,1,1,0,0,0,UdhRW,3P Audience,41,Female,98511,Android,Tablet,Microsoft Edge,Seattle,Washington
YAR4O0V596,O9785925,Direct,163,No,2,21-Jan,C0249,O9785925,Video,1,0,0,0,0,UrNNV,Custom Audience,31,Male,65221,Windows,Desktop,Microsoft Edge,Virginia Beach,Virginia
J5QQQJM9GW,P1194845,Paid Search,140,No,2,21-Jan,C0095,P1194845,Banner,0,0,0,789,0,UidXi,1P Audience,31,Male,78706,Linux,Laptop,Mozilla Firefox,Virginia Beach,Virginia
87C4CU4X4E,O3732176,Referral,157,No,1,21-Jan,C0095,O3732176,Video,1,0,0,0,0,U3ffs,Custom Audience,17,Female,48648,Android,Tablet,Microsoft Edge,Norfolk,Virginia
ZBO11CFOX7,O4787156,SEO,142,No,1,21-Jan,C0045,O4787156,Video,0,0,0,0,0,UHrmb,1P Audience,31,Female,60478,Android,Tablet,Microsoft Edge,Norfolk,Virginia
IOZSLNNETQ,P5237983,Display,153,Yes,3,21-Jan,C0026,P5237983,Carousel,1,0,0,227,0,U0Cg4,3P Audience,17,Female,47569,Android,Tablet,Microsoft Edge,Virginia Beach,Virginia
5K4U806TX9,O9453596,Referral,112,No,3,21-Jan,C0121,O9453596,Carousel,0,0,0,0,0,UbxLE,3P Audience,45,Male,111400,macOS,Laptop,Microsoft Edge,Chesapeake,Virginia
RKFFMW6QSH,P8143013,Display,367,No,5,21-Jan,C0141,P8143013,Carousel,1,1,1,639,619,UiSly,1P Audience,31,Female,74845,iOS,Smartphone,Safari,Burlington,Vermont
VMQ8UOC6XZ,P1975933,Paid Search,69,No,3,21-Jan,C0204,P1975933,Carousel,1,0,0,607,0,UEykv,1P Audience,50,Male,174499,macOS,Desktop,Microsoft Edge,Burlington,Vermont
YZLWWE798Q,O3100297,SEO,81,No,3,21-Jan,C0174,O3100297,Video,1,0,0,0,0,UK06S,1P Audience,48,Male,145403,iOS,Tablet,Safari,South Burlington,Vermont
ZK7NFAUSSR,O4666998,SEO,168,No,1,21-Jan,C0033,O4666998,Video,0,0,0,0,0,Uvwjc,1P Audience,25,Female,40265,macOS,Desktop,Microsoft Edge,Rutland,Vermont
CRL4ZYEDQC,P7950491,Display,135,No,3,21-Jan,C0064,P7950491,Carousel,1,0,0,579,0,U7qLk,Custom Audience,32,Female,63397,iOS,Smartphone,Safari,South Burlington,Vermont
RMBJTOLU2V,O2701854,SEO,164,No,2,21-Jan,C0152,O2701854,Carousel,0,0,0,0,0,UeRvg,3P Audience,36,Female,89001,iOS,Smartphone,Safari,Burlington,Vermont
031RK2H2F8,O9869756,SEO,145,No,3,21-Jan,C0138,O9869756,Video,1,1,0,0,0,U6eLy,1P Audience,21,Male,42271,Android,Smartphone,Microsoft Edge,Salt Lake City,Utah
GNUMLH3LIP,O8406574,Direct,109,Yes,1,21-Jan,C0036,O8406574,Video,0,0,0,0,0,UiFrE,3P Audience,50,Male,183901,Android,Tablet,Microsoft Edge,Salt Lake City,Utah
6N275CMJ4T,O9274460,Direct,407,No,4,21-Jan,C0223,O9274460,Video,1,1,1,0,416,UuBp6,3P Audience,21,Male,58898,iOS,Tablet,Safari,Salt Lake City,Utah
327BOG49I6,P8223793,Paid Search,106,No,2,21-Jan,C0243,P8223793,Banner,1,0,0,96,0,UHAXE,3P Audience,45,Male,107447,iOS,Smartphone,Safari,Provo,Utah
HLPHGD9LIB,P3639553,Display,107,No,1,21-Jan,C0211,P3639553,Video,1,0,0,517,0,UW6GK,Custom Audience,28,Female,67701,iOS,Smartphone,Safari,Dallas,Texas
8532BJHRBV,P4544152,Paid Search,111,No,1,21-Jan,C0134,P4544152,Banner,0,0,0,665,0,UG7Mc,1P Audience,33,Female,70355,iOS,Smartphone,Safari,Houston,Texas
HQZANFYDIM,P1260340,Paid Search,70,Yes,3,21-Jan,C0106,P1260340,Banner,1,0,0,713,0,UEJOP,1P Audience,34,Male,71010,iOS,Smartphone,Safari,Houston,Texas
BW5AWUE74H,P4903156,Paid Search,87,Yes,3,21-Jan,C0185,P4903156,Video,0,0,0,228,0,Ugr7u,Custom Audience,48,Male,138350,Android,Smartphone,Microsoft Edge,San Antonio,Texas
ETKCTPMQ58,O1623288,Direct,372,No,5,21-Jan,C0020,O1623288,Carousel,1,1,1,0,475,UD4o2,1P Audience,50,Female,151597,Linux,Laptop,Mozilla Firefox,Dallas,Texas
NAMFET420S,P2267250,Display,114,No,1,21-Jan,C0001,P2267250,Banner,0,0,0,95,0,UvNo1,1P Audience,50,Male,196684,iOS,Tablet,Safari,Houston,Texas
W5ACPBHFVE,O2105209,Referral,437,No,5,21-Jan,C0202,O2105209,Banner,1,1,1,0,782,UHAXE,3P Audience,45,Male,107447,iOS,Tablet,Safari,Dallas,Texas
EATDE4X3UN,O9135445,SEO,96,No,1,21-Jan,C0219,O9135445,Banner,0,0,0,0,0,UeRvg,1P Audience,36,Female,89001,Linux,Laptop,Mozilla Firefox,Houston,Texas
JG0YQ6YLKC,O2838556,Direct,115,No,2,21-Jan,C0034,O2838556,Banner,0,0,0,0,0,UME9C,Custom Audience,29,Male,77975,macOS,Desktop,Microsoft Edge,San Antonio,Texas
SJK7TAICHP,P4016074,Display,67,No,2,21-Jan,C0042,P4016074,Video,1,0,0,787,0,UY8qD,1P Audience,30,Female,75850,Android,Smartphone,Microsoft Edge,San Antonio,Texas
QAX0LID1UL,P8365168,Display,161,No,3,21-Jan,C0087,P8365168,Banner,1,1,0,830,0,UbxLE,Custom Audience,45,Male,111400,Windows,Laptop,Microsoft Edge,Nashville,Tennessee
VV7WJ5C18J,P2520674,Paid Search,133,Yes,1,21-Jan,C0240,P2520674,Carousel,1,1,0,575,0,U4tpM,3P Audience,41,Male,99807,Android,Smartphone,Microsoft Edge,Knoxville,Tennessee
GS7GYI7YE3,P7930558,Paid Search,316,No,6,21-Jan,C0156,P7930558,Video,1,1,1,162,137,Um7Um,3P Audience,22,Male,42035,Android,Smartphone,Microsoft Edge,Nashville,Tennessee
M0HS9EA85H,P1411025,Display,334,No,4,21-Jan,C0185,P1411025,Video,1,1,1,879,504,UX4ql,Custom Audience,39,Male,108333,Windows,Laptop,Microsoft Edge,Knoxville,Tennessee
PB9R0F7RI9,P5596718,Display,470,No,4,21-Jan,C0088,P5596718,Video,1,1,1,302,788,UAa1P,1P Audience,18,Male,44182,Android,Smartphone,Microsoft Edge,Nashville,Tennessee
DJ8EDRQ0MJ,P7541887,Display,342,No,4,21-Jan,C0194,P7541887,Banner,1,1,1,491,835,UjUgD,Custom Audience,55,Male,152843,iOS,Tablet,Safari,Knoxville,Tennessee
HSB1SSMU7T,P2538534,Paid Search,68,No,2,21-Jan,C0117,P2538534,Carousel,1,1,0,570,0,UhbGN,1P Audience,17,Female,50393,Android,Tablet,Microsoft Edge,Knoxville,Tennessee
JGPT4WBVAG,O5595625,Direct,117,No,1,21-Jan,C0118,O5595625,Banner,1,1,0,0,0,USlyT,3P Audience,39,Male,89036,macOS,Desktop,Microsoft Edge,Nashville,Tennessee
3I8N6SW1YW,P5647098,Display,94,No,3,21-Jan,C0089,P5647098,Banner,1,1,0,344,0,Us4SU,Custom Audience,28,Male,79441,macOS,Laptop,Microsoft Edge,Knoxville,Tennessee
EEPUUCHYDS,P3283091,Paid Search,82,No,1,21-Jan,C0048,P3283091,Video,1,1,0,744,0,UCugS,Custom Audience,29,Female,73273,Windows,Desktop,Microsoft Edge,Rapid City,South Dakota
8OZ36AXNQA,P3855046,Display,166,Yes,3,21-Jan,C0006,P3855046,Carousel,1,1,0,814,0,UPX2W,Custom Audience,22,Female,55258,Android,Smartphone,Microsoft Edge,Aberdeen,South Dakota
NZS8EJC4AE,P1101553,Display,81,Yes,3,21-Jan,C0120,P1101553,Banner,1,0,0,851,0,Ur2Fd,3P Audience,35,Male,76506,macOS,Desktop,Microsoft Edge,Sioux Falls,South Dakota
YAIVPM1LDK,P6630950,Display,94,No,3,21-Jan,C0177,P6630950,Banner,1,0,0,429,0,U5Y5i,Custom Audience,36,Female,105803,macOS,Laptop,Microsoft Edge,Sioux Falls,South Dakota
V6O4ZKOM0L,O8091395,SEO,147,No,3,21-Jan,C0010,O8091395,Video,0,0,0,0,0,UG4UK,3P Audience,21,Male,43705,Linux,Laptop,Mozilla Firefox,Sioux Falls,South Dakota
LQQRMKEXN1,O5094327,Referral,392,No,5,21-Jan,C0113,O5094327,Banner,1,1,1,0,310,UKCJA,3P Audience,19,Male,41580,Android,Smartphone,Microsoft Edge,Rapid City,South Dakota
GID1EBTJGK,P7102487,Paid Search,103,No,1,21-Jan,C0113,P7102487,Banner,0,0,0,187,0,UdAx2,3P Audience,20,Male,54197,Android,Tablet,Microsoft Edge,North Charleston,South Carolina
V9Z1N9RU24,P5823795,Display,72,No,2,21-Jan,C0057,P5823795,Carousel,1,1,0,436,0,UFd3I,3P Audience,34,Female,79562,Android,Smartphone,Microsoft Edge,North Charleston,South Carolina
TWDIWYUS6J,O5740626,SEO,132,No,2,21-Jan,C0172,O5740626,Video,0,0,0,0,0,UB92a,1P Audience,31,Female,61207,iOS,Tablet,Safari,Charleston,South Carolina
864EGBAP5N,P2142733,Paid Search,114,No,1,21-Jan,C0090,P2142733,Video,0,0,0,455,0,UuezP,3P Audience,25,Male,49837,Linux,Laptop,Mozilla Firefox,Columbia,South Carolina
ISKHKZXFKM,O8873903,Referral,475,No,5,21-Jan,C0054,O8873903,Banner,1,1,1,0,347,UPuU0,Custom Audience,33,Female,69066,macOS,Desktop,Microsoft Edge,Columbia,South Carolina
0X3XT8ZM0T,P5711005,Display,159,No,1,21-Jan,C0107,P5711005,Banner,1,0,0,656,0,Ul4nz,3P Audience,35,Male,74362,Windows,Laptop,Microsoft Edge,Columbia,South Carolina
O28FIJQHZ2,P8775376,Paid Search,449,No,5,21-Jan,C0044,P8775376,Video,1,1,1,811,356,UvIah,3P Audience,42,Female,96517,Windows,Laptop,Microsoft Edge,North Charleston,South Carolina
2Z1AUQIQDQ,O5274031,SEO,100,No,3,21-Jan,C0223,O5274031,Video,1,1,0,0,0,UI4HS,1P Audience,19,Female,41723,Android,Smartphone,Microsoft Edge,Charleston,South Carolina
11LYYGUB13,P8441959,Display,136,Yes,3,21-Jan,C0121,P8441959,Carousel,1,1,0,874,0,UGrLv,1P Audience,38,Female,80278,Android,Smartphone,Microsoft Edge,Columbia,South Carolina
CH0UCCACPP,O8862660,Referral,112,No,1,21-Jan,C0221,O8862660,Video,1,1,0,0,0,UAL9y,1P Audience,28,Female,73440,iOS,Tablet,Safari,Columbia,South Carolina
MW4EMR9XKS,O7915479,SEO,72,Yes,1,21-Jan,C0200,O7915479,Carousel,0,0,0,0,0,UJVXs,Custom Audience,16,Male,44963,macOS,Desktop,Microsoft Edge,Columbia,South Carolina
ZNVYQXV60O,O8212727,Referral,119,Yes,3,21-Jan,C0196,O8212727,Banner,1,0,0,0,0,U6gbk,1P Audience,16,Male,58586,macOS,Desktop,Microsoft Edge,Columbia,South Carolina
DDBVELXJ6H,P4499259,Display,134,Yes,3,21-Jan,C0026,P4499259,Banner,1,0,0,785,0,UhkYP,3P Audience,35,Male,71703,macOS,Laptop,Microsoft Edge,Columbia,South Carolina
UOMS7E78UY,O1972824,Direct,66,No,3,21-Jan,C0234,O1972824,Video,1,1,0,0,0,Uy1Se,3P Audience,38,Male,96777,macOS,Desktop,Microsoft Edge,Charleston,South Carolina
YYTZ0ODRPB,O1416608,SEO,166,No,1,21-Jan,C0044,O1416608,Banner,1,1,0,0,0,UBwT7,Custom Audience,18,Male,44932,Windows,Desktop,Microsoft Edge,Cranston,Rhode Island
PGLSJOZEOH,P5101246,Display,87,No,1,21-Jan,C0216,P5101246,Carousel,0,0,0,622,0,U5ljY,3P Audience,34,Female,64970,Windows,Desktop,Microsoft Edge,Warwick,Rhode Island
XEUN3L15Q6,O7436519,Direct,98,No,2,21-Jan,C0221,O7436519,Carousel,0,0,0,0,0,UAL9y,3P Audience,28,Female,73440,Android,Smartphone,Microsoft Edge,Cranston,Rhode Island
F5P2THC80Q,O9113360,Referral,77,Yes,2,21-Jan,C0250,O9113360,Banner,1,1,0,0,0,UHq4r,3P Audience,26,Female,70443,Android,Tablet,Microsoft Edge,Cranston,Rhode Island
XSR9HEVHFO,P5931611,Paid Search,145,Yes,1,21-Jan,C0119,P5931611,Banner,0,0,0,473,0,Uqqyq,1P Audience,44,Female,100187,Android,Smartphone,Microsoft Edge,Pittsburgh,Pennsylvania
Z11D0D397O,P1906962,Paid Search,65,No,2,21-Jan,C0067,P1906962,Banner,1,0,0,542,0,UpD3n,1P Audience,40,Female,87512,iOS,Tablet,Safari,Allentown,Pennsylvania
OWX1J1QUII,P5072688,Display,169,No,3,21-Jan,C0220,P5072688,Carousel,0,0,0,118,0,UEETx,1P Audience,28,Female,64345,iOS,Tablet,Safari,Philadelphia,Pennsylvania
XX2MSYAB55,P9703220,Paid Search,518,No,4,21-Jan,C0115,P9703220,Video,1,1,1,211,428,UgAwk,Custom Audience,30,Male,61584,iOS,Tablet,Safari,Allentown,Pennsylvania
IUOM2OQVRI,P3834822,Paid Search,432,No,6,21-Jan,C0072,P3834822,Video,1,1,1,560,841,UONh6,Custom Audience,21,Male,56180,Windows,Desktop,Microsoft Edge,Pittsburgh,Pennsylvania
UYLIWM5BNB,O4658352,Direct,75,No,2,21-Jan,C0189,O4658352,Video,1,0,0,0,0,UoSXT,Custom Audience,19,Female,53196,macOS,Desktop,Microsoft Edge,Philadelphia,Pennsylvania
UBP9VBGMWW,O8371162,Referral,577,No,5,21-Jan,C0049,O8371162,Banner,1,1,1,0,588,UjCGA,Custom Audience,26,Male,66033,Windows,Desktop,Microsoft Edge,Eugene,Oregon
7S3KXMTGJN,P8409111,Display,95,No,2,21-Jan,C0030,P8409111,Banner,1,0,0,577,0,U508D,3P Audience,36,Female,117154,iOS,Tablet,Safari,Eugene,Oregon
K9OU9F2X6P,P2922032,Paid Search,447,No,4,21-Jan,C0152,P2922032,Carousel,1,1,1,810,862,U6fx1,3P Audience,32,Female,61586,Android,Tablet,Microsoft Edge,Eugene,Oregon
YS7O4MFPMN,P7786529,Display,110,No,1,21-Jan,C0027,P7786529,Banner,1,0,0,160,0,U7KND,3P Audience,44,Female,95374,Windows,Laptop,Microsoft Edge,Eugene,Oregon
9Z6H32O4BB,P2221917,Paid Search,550,No,6,21-Jan,C0128,P2221917,Banner,1,1,1,746,398,UiSly,Custom Audience,31,Female,74845,macOS,Desktop,Microsoft Edge,Salem,Oregon
QH6B8CY9AR,O1510050,SEO,145,No,3,21-Jan,C0065,O1510050,Carousel,1,0,0,0,0,U5Y5i,1P Audience,36,Female,105803,Linux,Laptop,Mozilla Firefox,Salem,Oregon
4VGWTWB6BF,P8369882,Paid Search,140,No,1,21-Jan,C0159,P8369882,Carousel,1,0,0,322,0,UUPNu,1P Audience,18,Female,54666,Android,Smartphone,Microsoft Edge,Eugene,Oregon
PGVHDER2SG,O9549007,Referral,340,No,5,21-Jan,C0127,O9549007,Carousel,1,1,1,0,609,UjUhv,Custom Audience,24,Female,45303,macOS,Laptop,Microsoft Edge,Salem,Oregon
U29ZIA4H6Q,O8732282,SEO,587,No,5,21-Jan,C0133,O8732282,Banner,1,1,1,0,718,UHq4r,Custom Audience,26,Female,70443,iOS,Smartphone,Safari,Portland,Oregon
PL4EOO096I,O2751899,Referral,380,No,6,21-Jan,C0250,O2751899,Video,1,1,1,0,262,U1v65,3P Audience,53,Male,184452,Android,Smartphone,Microsoft Edge,Eugene,Oregon
OJMCQ1W1UZ,O9137230,SEO,152,Yes,2,21-Jan,C0115,O9137230,Carousel,1,0,0,0,0,UQ884,Custom Audience,38,Male,106024,iOS,Tablet,Safari,Tulsa,Oklahoma
0XQ3SXZ6FS,O4787887,Referral,96,Yes,1,21-Jan,C0090,O4787887,Carousel,1,1,0,0,0,UEykv,Custom Audience,50,Male,174499,iOS,Smartphone,Safari,Tulsa,Oklahoma
K41D606PQ1,P5979108,Display,162,Yes,3,21-Jan,C0011,P5979108,Video,0,0,0,445,0,UYniv,3P Audience,51,Female,133456,iOS,Smartphone,Safari,Norman,Oklahoma
EDDONS6JIG,O5603984,Direct,87,No,2,21-Jan,C0102,O5603984,Video,1,1,0,0,0,UQrVj,3P Audience,28,Male,74286,macOS,Desktop,Microsoft Edge,Tulsa,Oklahoma
FREH6514XG,O5788851,Direct,173,Yes,2,21-Jan,C0208,O5788851,Video,1,0,0,0,0,UG7Mc,1P Audience,33,Female,70355,Android,Tablet,Microsoft Edge,Oklahoma City,Oklahoma
PWS5N4BU2P,O4057199,SEO,113,Yes,2,21-Jan,C0033,O4057199,Carousel,1,1,0,0,0,Uyx36,1P Audience,38,Male,89377,Windows,Desktop,Microsoft Edge,Oklahoma City,Oklahoma
E3FF1TUTN9,O9385390,Direct,161,Yes,3,21-Jan,C0169,O9385390,Video,1,1,0,0,0,UcX4n,3P Audience,23,Female,52399,Android,Tablet,Microsoft Edge,Columbus,Ohio
MRTMBC0XXC,P2278886,Paid Search,158,No,3,21-Jan,C0144,P2278886,Banner,1,0,0,858,0,UbxLE,3P Audience,45,Male,111400,Android,Tablet,Microsoft Edge,Cincinnati,Ohio
CAOREX2T2O,P8131431,Paid Search,552,No,6,21-Jan,C0128,P8131431,Banner,1,1,1,436,572,UEJOP,Custom Audience,34,Male,71010,iOS,Smartphone,Safari,Columbus,Ohio
UJL8M67DQX,O3215607,SEO,174,Yes,3,21-Jan,C0107,O3215607,Banner,1,1,0,0,0,UlvMk,1P Audience,32,Male,67972,macOS,Laptop,Microsoft Edge,Cleveland,Ohio
317PGXNM9K,P5434072,Paid Search,595,No,5,21-Jan,C0250,P5434072,Video,1,1,1,753,697,U7nTA,Custom Audience,41,Male,108243,Android,Tablet,Microsoft Edge,Cincinnati,Ohio
5LW3YZT0FB,O1465426,Referral,65,Yes,2,21-Jan,C0172,O1465426,Carousel,1,0,0,0,0,U61fv,1P Audience,51,Female,160777,Windows,Desktop,Microsoft Edge,Columbus,Ohio
8U65DP4V3E,P6286875,Display,115,No,1,21-Jan,C0019,P6286875,Banner,1,0,0,818,0,UH7Ve,1P Audience,52,Female,168238,Windows,Laptop,Microsoft Edge,Cincinnati,Ohio
KSATNOSWAP,O2846355,Referral,119,No,1,21-Jan,C0027,O2846355,Banner,0,0,0,0,0,UFsWY,Custom Audience,45,Female,99929,iOS,Smartphone,Safari,Cincinnati,Ohio
J4PH568QX9,P9772030,Paid Search,120,Yes,2,21-Jan,C0226,P9772030,Video,0,0,0,250,0,UgpBw,Custom Audience,47,Female,145971,iOS,Smartphone,Safari,Cincinnati,Ohio
2ZZ7JEUR2U,P6201486,Display,305,No,4,21-Jan,C0149,P6201486,Carousel,1,1,1,263,274,UjfHy,1P Audience,38,Male,109803,macOS,Laptop,Microsoft Edge,Bismarck,North Dakota
JR6CTUMOAN,P1342455,Display,157,No,1,21-Jan,C0081,P1342455,Video,1,0,0,94,0,ULTQL,Custom Audience,26,Male,64160,Android,Smartphone,Microsoft Edge,Grand Forks,North Dakota
JKQDN0MPX9,O9555081,SEO,67,No,1,21-Jan,C0026,O9555081,Banner,1,0,0,0,0,U69pJ,3P Audience,44,Female,85322,iOS,Smartphone,Safari,Fargo,North Dakota
KHFETXMNHH,P3740744,Paid Search,110,No,2,21-Jan,C0117,P3740744,Video,1,0,0,609,0,UdhRW,1P Audience,41,Female,98511,Windows,Laptop,Microsoft Edge,Grand Forks,North Dakota
Z9937YY3MG,O5048648,Referral,147,No,2,21-Jan,C0034,O5048648,Carousel,0,0,0,0,0,U0TSI,1P Audience,48,Female,167625,Windows,Desktop,Microsoft Edge,Bismarck,North Dakota
QBAQNZBWM1,P4796066,Display,166,No,1,21-Jan,C0229,P4796066,Banner,1,0,0,716,0,Ubfe6,Custom Audience,16,Female,44808,Android,Tablet,Microsoft Edge,Greensboro,North Carolina
899C2EXIK4,P2668400,Paid Search,94,No,3,21-Jan,C0154,P2668400,Carousel,1,0,0,132,0,UxRl7,Custom Audience,36,Female,118033,Windows,Laptop,Microsoft Edge,Greensboro,North Carolina
S3XE4FBF7Z,O5324258,Direct,125,No,1,21-Jan,C0138,O5324258,Banner,0,0,0,0,0,U45Rr,1P Audience,34,Female,60455,Linux,Laptop,Mozilla Firefox,Raleigh,North Carolina
TF6C8T2QNY,P4331413,Paid Search,102,Yes,2,21-Jan,C0191,P4331413,Carousel,1,1,0,854,0,UhbGN,1P Audience,17,Female,50393,Android,Smartphone,Microsoft Edge,Greensboro,North Carolina
4755HHIWGQ,O7924258,Direct,123,Yes,2,21-Jan,C0005,O7924258,Video,0,0,0,0,0,UW6GK,Custom Audience,28,Female,67701,Windows,Desktop,Microsoft Edge,Greensboro,North Carolina
39F3CHP0RW,O5302607,Referral,93,Yes,2,21-Jan,C0193,O5302607,Banner,0,0,0,0,0,UEcdh,Custom Audience,45,Male,118820,Linux,Laptop,Mozilla Firefox,Charlotte,North Carolina
FY49QEQWWP,P5378198,Paid Search,102,Yes,1,21-Jan,C0027,P5378198,Banner,0,0,0,700,0,UGIgu,Custom Audience,28,Female,64079,macOS,Laptop,Microsoft Edge,New York City,New York
6DHG8VXOKI,O9866079,Referral,76,No,3,21-Jan,C0228,O9866079,Video,1,1,0,0,0,UcMGp,1P Audience,47,Female,198108,Android,Smartphone,Microsoft Edge,Rochester,New York
KMKC20MQKZ,O5617682,SEO,114,No,1,21-Jan,C0216,O5617682,Video,1,0,0,0,0,U0fGe,Custom Audience,30,Male,67652,iOS,Smartphone,Safari,Rochester,New York
TDJ3H3L7JL,P6241895,Display,77,No,1,21-Jan,C0177,P6241895,Carousel,0,0,0,126,0,Uadda,3P Audience,44,Male,110387,Windows,Desktop,Microsoft Edge,New York City,New York
RK8MRTTNNN,O1415756,Direct,599,No,4,21-Jan,C0165,O1415756,Banner,1,1,1,0,513,Uwy8N,1P Audience,44,Male,110014,Windows,Desktop,Microsoft Edge,Rochester,New York
