SessionID,ExposureID,TrafficChannel,SessionDuration,Bounced,PagesperSession,AdDate,CreativeID,ExposureID_1,AdFormat,Viewable,WasClicked,Conversion,SpendonExposure,RevenueGenerated,UserID,ExposureID_2,SegmentType,Age,Gender,Income,OperatingSystem,Device,Browser,Location(DMA)
9D7BNEAY3C,P4526634,Paid Search,164,No,3,21-Aug,C0150,P4526634,Banner,No,No,No,512,0,UaLbp,P4526634,3P Audience,36,Female,104828,Android,Tablet,Microsoft Edge,"Cheyenne, Wyoming"
9NX5YTVDPB,P4143826,Paid Search,75,No,1,21-Oct,C0138,P4143826,Banner,Yes,No,No,656,0,UjSl5,P4143826,Custom Audience,54,Male,174343,Android,Tablet,Microsoft Edge,"Casper, Wyoming"
ZM20BK8QZR,P5756855,Display,75,No,1,21-Jan,C0194,P5756855,Banner,Yes,Yes,No,879,0,UwFnN,P5756855,1P Audience,38,Male,111019,iOS,Tablet,Safari,"Casper, Wyoming"
RCOFYII6TM,O9316330,Direct,109,No,1,21-Feb,C0085,O9316330,Banner,No,No,No,0,0,Uj26t,O9316330,1P Audience,30,Female,62059,iOS,Tablet,Safari,"Cheyenne, Wyoming"
6LPB3FOSFX,O7324637,Direct,100,No,3,21-Oct,C0179,O7324637,Banner,Yes,No,No,0,0,UwfQN,O7324637,3P Audience,38,Male,96833,Windows,Desktop,Microsoft Edge,"Laramie, Wyoming"
V7TBQANPFX,P1471585,Paid Search,104,Yes,1,21-Apr,C0013,P1471585,Carousel,Yes,No,No,552,0,Ude4g,P1471585,3P Audience,21,Female,58687,iOS,Tablet,Safari,"Casper, Wyoming"
FU969KB4Z9,O4452210,Referral,443,No,4,21-Feb,C0117,O4452210,Video,Yes,Yes,Yes,0,182,UFusg,O4452210,Custom Audience,23,Male,55641,macOS,Laptop,Microsoft Edge,"Casper, Wyoming"
1IE7J9ZX8H,P6506196,Display,158,No,2,21-Jul,C0115,P6506196,Video,Yes,No,No,763,0,U85Mj,P6506196,Custom Audience,50,Male,179210,iOS,Tablet,Safari,"Laramie, Wyoming"
UL2648JMRU,O3350484,Referral,178,No,3,21-Mar,C0182,O3350484,Carousel,Yes,Yes,No,0,0,Uphlf,O3350484,Custom Audience,34,Male,61517,Android,Smartphone,Microsoft Edge,"Laramie, Wyoming"
6ZABHVJMPH,P6754598,Display,151,Yes,3,21-Jul,C0158,P6754598,Banner,Yes,No,No,687,0,U5Y5i,P6754598,Custom Audience,36,Female,105803,macOS,Laptop,Microsoft Edge,"Cheyenne, Wyoming"
5SUKN6MSM2,O3190962,SEO,154,Yes,1,21-Mar,C0047,O3190962,Banner,Yes,Yes,No,0,0,UKj2K,O3190962,1P Audience,34,Male,77145,iOS,Tablet,Safari,"Casper, Wyoming"
D0DPBDQGM7,O1631114,Direct,165,Yes,3,21-Sep,C0223,O1631114,Carousel,Yes,No,No,0,0,U4zHy,O1631114,Custom Audience,53,Female,185794,Android,Smartphone,Microsoft Edge,"Laramie, Wyoming"
MW97C1WG4U,O6463009,SEO,136,No,2,21-Jul,C0070,O6463009,Carousel,Yes,Yes,No,0,0,UJVXs,O6463009,3P Audience,16,Male,44963,Android,Tablet,Microsoft Edge,"Cheyenne, Wyoming"
EHZGGX1QEO,O3120442,SEO,144,Yes,1,21-Nov,C0010,O3120442,Carousel,No,No,No,0,0,UdMuN,O3120442,3P Audience,33,Female,69044,Windows,Desktop,Microsoft Edge,"Casper, Wyoming"
3C8DAD3RLR,P2016579,Paid Search,133,No,2,21-Oct,C0002,P2016579,Video,No,No,No,520,0,UK5y3,P2016579,1P Audience,48,Female,175995,Android,Smartphone,Microsoft Edge,"Laramie, Wyoming"
2IUO762XXQ,P8134491,Display,313,No,4,21-Dec,C0135,P8134491,Video,Yes,Yes,Yes,181,745,U4TUk,P8134491,1P Audience,34,Male,72749,macOS,Desktop,Microsoft Edge,"Laramie, Wyoming"
S4JH5R9Y7H,P4437329,Paid Search,157,No,3,21-Jun,C0128,P4437329,Video,No,No,No,566,0,Ug4bT,P4437329,1P Audience,45,Female,83544,macOS,Desktop,Microsoft Edge,"Casper, Wyoming"
B3MW9G2HMZ,P7601710,Paid Search,125,Yes,3,21-Oct,C0230,P7601710,Video,No,No,No,826,0,UmEa7,P7601710,1P Audience,50,Female,135693,Linux,Laptop,Mozilla Firefox,"Cheyenne, Wyoming"
5PTCMU7I89,P6958676,Paid Search,490,No,5,21-Sep,C0182,P6958676,Carousel,Yes,Yes,Yes,456,744,UoSXT,P6958676,3P Audience,19,Female,53196,Linux,Laptop,Mozilla Firefox,"Cheyenne, Wyoming"
62ZVHSGCMK,O9091626,Direct,137,Yes,1,21-Apr,C0163,O9091626,Carousel,No,No,No,0,0,UBk2v,O9091626,1P Audience,52,Male,187511,Linux,Laptop,Mozilla Firefox,"Casper, Wyoming"
5B2EEH4FS5,P6589733,Display,151,No,3,21-Jan,C0072,P6589733,Video,Yes,Yes,No,375,0,UfJV9,P6589733,3P Audience,42,Male,101049,Android,Smartphone,Microsoft Edge,"Casper, Wyoming"
LOFYSZHJIQ,O7204797,Direct,141,No,2,21-Jul,C0230,O7204797,Carousel,Yes,No,No,0,0,UEETx,O7204797,1P Audience,28,Female,64345,Windows,Desktop,Microsoft Edge,"Casper, Wyoming"
ZP35ZLTT6E,O6477949,Direct,128,No,1,21-Mar,C0219,O6477949,Carousel,Yes,Yes,No,0,0,UaPch,O6477949,Custom Audience,37,Female,104174,Windows,Laptop,Microsoft Edge,"Cheyenne, Wyoming"
FZBVOPL51L,P6530216,Paid Search,112,No,2,21-Nov,C0214,P6530216,Banner,No,No,No,663,0,UjSl5,P6530216,1P Audience,54,Male,174343,iOS,Tablet,Safari,"Laramie, Wyoming"
QEFIMNG2EC,O2928530,SEO,141,Yes,3,21-Nov,C0216,O2928530,Banner,Yes,No,No,0,0,UzEvI,O2928530,3P Audience,29,Male,67362,iOS,Smartphone,Safari,"Cheyenne, Wyoming"
9IED243U5U,O6299218,Referral,65,Yes,3,21-Apr,C0112,O6299218,Carousel,Yes,Yes,No,0,0,UlzEY,O6299218,3P Audience,47,Male,143537,Windows,Laptop,Microsoft Edge,"Laramie, Wyoming"
EPPZSUF43V,P5314662,Display,542,No,4,21-Dec,C0028,P5314662,Carousel,Yes,Yes,Yes,424,393,U7qLk,P5314662,1P Audience,32,Female,63397,iOS,Tablet,Safari,"Laramie, Wyoming"
C7YCV9N5DT,O7798158,Direct,133,No,2,21-Sep,C0193,O7798158,Banner,Yes,No,No,0,0,UoRBB,O7798158,Custom Audience,22,Female,49502,Android,Tablet,Microsoft Edge,"Casper, Wyoming"
FL0602ATEW,O6726447,SEO,393,No,5,21-Jun,C0067,O6726447,Banner,Yes,Yes,Yes,0,889,UU9jv,O6726447,3P Audience,28,Female,66350,Android,Tablet,Microsoft Edge,"Casper, Wyoming"
92978O2QNU,P9479903,Paid Search,130,No,3,21-Oct,C0047,P9479903,Carousel,No,No,No,388,0,UalOB,P9479903,1P Audience,46,Female,175868,iOS,Tablet,Safari,"Casper, Wyoming"
4MU8LQW2GU,O1818982,Referral,582,No,4,21-Sep,C0173,O1818982,Video,Yes,Yes,Yes,0,422,UaLbp,O1818982,Custom Audience,36,Female,104828,Android,Smartphone,Microsoft Edge,"Laramie, Wyoming"
9EZ6A0IO2B,P8394193,Paid Search,71,Yes,2,21-Jun,C0235,P8394193,Video,No,No,No,216,0,UxEFv,P8394193,3P Audience,28,Male,68365,Android,Smartphone,Microsoft Edge,"Laramie, Wyoming"
LIHITUAXNT,O7790514,Direct,93,No,2,21-Oct,C0246,O7790514,Video,No,No,No,0,0,Ube7A,O7790514,Custom Audience,55,Female,184534,Android,Smartphone,Microsoft Edge,"Casper, Wyoming"
NMGNWD21Z5,P7767954,Display,379,No,4,21-Nov,C0045,P7767954,Banner,Yes,Yes,Yes,511,312,UiSly,P7767954,3P Audience,31,Female,74845,macOS,Laptop,Microsoft Edge,"Cheyenne, Wyoming"
XQ97Y5JN5W,P3747731,Paid Search,334,No,4,21-Feb,C0173,P3747731,Video,Yes,Yes,Yes,619,141,UMpsU,P3747731,1P Audience,41,Female,84265,Android,Tablet,Microsoft Edge,"Laramie, Wyoming"
0470QDBATT,P7168719,Display,125,Yes,3,21-Mar,C0028,P7168719,Video,No,No,No,225,0,UalOB,P7168719,1P Audience,46,Female,175868,Android,Smartphone,Microsoft Edge,"Casper, Wyoming"
B9Z7I3VZJX,O1075178,SEO,155,No,1,21-Sep,C0187,O1075178,Banner,No,No,No,0,0,UqcfI,O1075178,3P Audience,17,Female,58361,iOS,Tablet,Safari,"Casper, Wyoming"
APM287TTSU,O1988061,SEO,534,No,6,21-Jun,C0212,O1988061,Carousel,Yes,Yes,Yes,0,790,UD1Ri,O1988061,Custom Audience,48,Female,136937,iOS,Smartphone,Safari,"Cheyenne, Wyoming"
8DO4FYSLX6,P5608774,Display,574,No,4,21-Jul,C0188,P5608774,Banner,Yes,Yes,Yes,836,175,UuezP,P5608774,3P Audience,25,Male,49837,Windows,Desktop,Microsoft Edge,"Casper, Wyoming"
LHW513BBJU,O7931488,Direct,86,Yes,1,21-Sep,C0122,O7931488,Video,No,No,No,0,0,UJI5N,O7931488,3P Audience,35,Male,74721,Linux,Laptop,Mozilla Firefox,"Casper, Wyoming"
C8D7U8Q8SZ,O9683887,SEO,145,No,1,21-Jun,C0039,O9683887,Video,No,No,No,0,0,UK06S,O9683887,3P Audience,48,Male,145403,iOS,Tablet,Safari,"Casper, Wyoming"
2T5J55UQ0B,P2503475,Display,130,No,3,21-Jul,C0004,P2503475,Carousel,Yes,Yes,No,232,0,UHrmb,P2503475,1P Audience,31,Female,60478,macOS,Desktop,Microsoft Edge,"Laramie, Wyoming"
PVWVYPYGXJ,O3545159,SEO,491,No,6,21-Sep,C0220,O3545159,Carousel,Yes,Yes,Yes,0,738,UdhRW,O3545159,3P Audience,41,Female,98511,Android,Smartphone,Microsoft Edge,"Cheyenne, Wyoming"
GYKI7J3ZD7,P1188069,Display,83,No,2,21-Jun,C0233,P1188069,Video,No,No,No,345,0,UQyXi,P1188069,3P Audience,51,Male,139381,Windows,Laptop,Microsoft Edge,"Cheyenne, Wyoming"
U8QLXB1LJS,P7794174,Display,162,No,2,21-Sep,C0050,P7794174,Carousel,Yes,No,No,672,0,Uadda,P7794174,1P Audience,44,Male,110387,Windows,Desktop,Microsoft Edge,"Cheyenne, Wyoming"
5M63TX2MUI,P4769015,Paid Search,329,No,6,21-Jun,C0047,P4769015,Carousel,Yes,Yes,Yes,553,129,UcMGp,P4769015,3P Audience,47,Female,198108,Windows,Laptop,Microsoft Edge,"Cheyenne, Wyoming"
91KMYGYCLK,P4503732,Paid Search,533,No,4,21-Mar,C0192,P4503732,Carousel,Yes,Yes,Yes,734,149,UyPUQ,P4503732,1P Audience,25,Female,58715,Android,Tablet,Microsoft Edge,"Cheyenne, Wyoming"
UIP5Q33ROZ,P7419671,Paid Search,76,Yes,3,21-Feb,C0117,P7419671,Video,Yes,No,No,548,0,UahFa,P7419671,1P Audience,42,Male,97916,Windows,Laptop,Microsoft Edge,"Cheyenne, Wyoming"
6PI5CJVBQG,P8434087,Display,145,Yes,3,21-Jul,C0037,P8434087,Banner,No,No,No,378,0,UHwpH,P8434087,3P Audience,44,Female,116515,Linux,Laptop,Mozilla Firefox,"Casper, Wyoming"
DEDXJHCT3Q,P2485754,Display,74,No,1,21-Sep,C0066,P2485754,Video,No,No,No,882,0,Uxr13,P2485754,Custom Audience,52,Male,145437,Linux,Laptop,Mozilla Firefox,"Cheyenne, Wyoming"
DF6042NI2G,P6000273,Paid Search,594,No,6,21-Apr,C0207,P6000273,Video,Yes,Yes,Yes,445,295,U9jrj,P6000273,1P Audience,18,Female,58272,macOS,Desktop,Microsoft Edge,"Cheyenne, Wyoming"
S8YJA24PTH,P3409280,Paid Search,70,Yes,2,21-Jun,C0035,P3409280,Carousel,Yes,No,No,369,0,UaYZh,P3409280,1P Audience,23,Female,59360,macOS,Laptop,Microsoft Edge,"Laramie, Wyoming"
9V365AMEOI,O5719782,Referral,67,No,1,21-Dec,C0166,O5719782,Banner,Yes,No,No,0,0,U61fv,O5719782,3P Audience,51,Female,160777,macOS,Desktop,Microsoft Edge,"Casper, Wyoming"
A1MBV9MKI7,P3935836,Paid Search,67,No,3,21-Aug,C0066,P3935836,Banner,No,No,No,686,0,UU9jv,P3935836,Custom Audience,28,Female,66350,Linux,Laptop,Mozilla Firefox,"Cheyenne, Wyoming"
RXJSQNOTZX,O8284037,Direct,125,No,2,21-Aug,C0092,O8284037,Video,Yes,No,No,0,0,UQKpm,O8284037,1P Audience,40,Female,113820,macOS,Laptop,Microsoft Edge,"Casper, Wyoming"
LK00VM48KH,O5921710,SEO,134,No,1,21-Apr,C0221,O5921710,Banner,No,No,No,0,0,U7qLk,O5921710,Custom Audience,32,Female,63397,Android,Tablet,Microsoft Edge,"Cheyenne, Wyoming"
FVDSANXK4L,P6230003,Display,344,No,5,21-Apr,C0076,P6230003,Banner,Yes,Yes,Yes,844,724,U3Wpl,P6230003,Custom Audience,39,Female,101945,Android,Tablet,Microsoft Edge,"Laramie, Wyoming"
27AYP11YY3,O3341045,Direct,104,No,2,21-Jun,C0120,O3341045,Carousel,Yes,Yes,No,0,0,UuezP,O3341045,Custom Audience,25,Male,49837,Android,Tablet,Microsoft Edge,"Casper, Wyoming"
TNDWUGOSNQ,P8870759,Paid Search,158,No,2,21-Feb,C0147,P8870759,Banner,Yes,No,No,589,0,UQ2qd,P8870759,1P Audience,46,Male,193730,Windows,Laptop,Microsoft Edge,"Laramie, Wyoming"
GR2ZEVKLA6,O8829804,Referral,110,No,3,21-Feb,C0022,O8829804,Video,Yes,No,No,0,0,UG4UK,O8829804,1P Audience,21,Male,43705,macOS,Laptop,Microsoft Edge,"Laramie, Wyoming"
WX7J7PZEUF,P6017876,Paid Search,86,No,3,21-Jun,C0248,P6017876,Banner,Yes,No,No,334,0,UY8qD,P6017876,3P Audience,30,Female,75850,macOS,Desktop,Microsoft Edge,"Laramie, Wyoming"
W6L14SOGJT,O2627331,Direct,169,No,1,21-Apr,C0077,O2627331,Video,No,No,No,0,0,UMpsU,O2627331,3P Audience,41,Female,84265,Android,Tablet,Microsoft Edge,"Laramie, Wyoming"
W828GFFSSV,O9713670,Direct,151,No,3,21-Apr,C0170,O9713670,Banner,No,No,No,0,0,UxBhR,O9713670,1P Audience,19,Male,50941,Android,Tablet,Microsoft Edge,"Laramie, Wyoming"
DGEI7TZ7VV,P6636770,Display,84,No,3,21-Nov,C0111,P6636770,Banner,Yes,No,No,775,0,U7qLk,P6636770,3P Audience,32,Female,63397,macOS,Laptop,Microsoft Edge,"Cheyenne, Wyoming"
CLVGH70SRB,P9812179,Paid Search,502,No,5,21-Feb,C0032,P9812179,Banner,Yes,Yes,Yes,815,177,UbTIA,P9812179,1P Audience,29,Female,62114,iOS,Smartphone,Safari,"Laramie, Wyoming"
QL0OPO0I39,O6963484,SEO,178,No,3,21-Mar,C0229,O6963484,Carousel,Yes,No,No,0,0,UaYZh,O6963484,3P Audience,23,Female,59360,Android,Tablet,Microsoft Edge,"Casper, Wyoming"
CHLQ4JHAOT,P8385277,Display,161,No,1,21-Feb,C0057,P8385277,Carousel,Yes,Yes,No,463,0,Ua0cf,P8385277,Custom Audience,25,Female,41122,Android,Tablet,Microsoft Edge,"Cheyenne, Wyoming"
043E4IS5KI,P9441232,Paid Search,143,No,2,21-Nov,C0037,P9441232,Banner,Yes,No,No,111,0,UQKpm,P9441232,3P Audience,40,Female,113820,Windows,Laptop,Microsoft Edge,"Cheyenne, Wyoming"
WHPDY8GT76,O1396918,Direct,172,No,1,21-Jul,C0016,O1396918,Banner,No,No,No,0,0,Uadda,O1396918,3P Audience,44,Male,110387,macOS,Laptop,Microsoft Edge,"Laramie, Wyoming"
V17WN8ZD36,O2593253,Referral,178,Yes,1,21-Apr,C0235,O2593253,Carousel,No,No,No,0,0,UAL9y,O2593253,Custom Audience,28,Female,73440,Windows,Laptop,Microsoft Edge,"Casper, Wyoming"
EDPXINQNNV,P3275152,Display,88,No,3,21-Mar,C0225,P3275152,Banner,No,No,No,565,0,UZpS5,P3275152,1P Audience,36,Male,110206,Android,Tablet,Microsoft Edge,"Cheyenne, Wyoming"
PKXLCSEYUX,P5248415,Display,100,No,1,21-Dec,C0200,P5248415,Video,Yes,No,No,259,0,UfcNC,P5248415,1P Audience,26,Female,73991,Linux,Laptop,Mozilla Firefox,"Casper, Wyoming"
22ED778L3D,O7900842,Direct,319,No,4,21-Oct,C0232,O7900842,Carousel,Yes,Yes,Yes,0,194,UdMuN,O7900842,3P Audience,33,Female,69044,Android,Tablet,Microsoft Edge,"Laramie, Wyoming"
5P4WVL6601,P6251372,Display,150,Yes,3,21-Jun,C0165,P6251372,Banner,No,No,No,446,0,UXKF6,P6251372,Custom Audience,33,Male,66540,Windows,Laptop,Microsoft Edge,"Casper, Wyoming"
BUOXMD7O3U,O1876829,SEO,172,No,1,21-May,C0027,O1876829,Banner,No,No,No,0,0,Uuo2b,O1876829,3P Audience,23,Female,52287,Linux,Laptop,Mozilla Firefox,"Cheyenne, Wyoming"
CFXLPXYQHS,O7738543,Direct,85,No,1,21-Dec,C0168,O7738543,Video,Yes,No,No,0,0,U4QXW,O7738543,3P Audience,28,Female,79034,macOS,Desktop,Microsoft Edge,"Cheyenne, Wyoming"
TT6WOFAI85,P6686898,Display,122,No,1,21-Dec,C0240,P6686898,Video,Yes,No,No,763,0,U508D,P6686898,3P Audience,36,Female,117154,Android,Smartphone,Microsoft Edge,"Green Bay, Wisconsin"
4P61A13NLU,O7550992,Direct,127,Yes,1,21-Jun,C0144,O7550992,Banner,Yes,No,No,0,0,UQ2qd,O7550992,3P Audience,46,Male,193730,iOS,Smartphone,Safari,"Milwaukee, Wisconsin"
5X21XDALUV,O8220296,SEO,63,Yes,3,21-Oct,C0130,O8220296,Banner,Yes,Yes,No,0,0,UaPch,O8220296,Custom Audience,37,Female,104174,macOS,Desktop,Microsoft Edge,"Madison, Wisconsin"
GC8B271361,O5517411,SEO,151,No,1,21-Dec,C0249,O5517411,Banner,No,No,No,0,0,UdAx2,O5517411,1P Audience,20,Male,54197,Android,Tablet,Microsoft Edge,"Milwaukee, Wisconsin"
VVFTUX96X1,P9952638,Display,77,No,1,21-May,C0125,P9952638,Video,Yes,Yes,No,825,0,UuWMZ,P9952638,3P Audience,38,Male,114721,Windows,Laptop,Microsoft Edge,"Green Bay, Wisconsin"
47A7G2C8C0,P2826323,Paid Search,124,No,1,21-Jun,C0146,P2826323,Banner,Yes,No,No,270,0,ULTQL,P2826323,3P Audience,26,Male,64160,iOS,Tablet,Safari,"Madison, Wisconsin"
NJYMMUHNGK,O9648793,Referral,62,Yes,3,21-Sep,C0129,O9648793,Carousel,Yes,No,No,0,0,Uzxa3,O9648793,Custom Audience,41,Female,107828,Windows,Desktop,Microsoft Edge,"Milwaukee, Wisconsin"
JTQNIVETOT,P1195410,Paid Search,587,No,5,21-Jan,C0035,P1195410,Video,Yes,Yes,Yes,504,749,Uvwjc,P1195410,1P Audience,25,Female,40265,iOS,Tablet,Safari,"Green Bay, Wisconsin"
YF56S7J18R,O6283400,Referral,65,No,1,21-Apr,C0051,O6283400,Carousel,No,No,No,0,0,UJ819,O6283400,Custom Audience,51,Male,170201,macOS,Laptop,Microsoft Edge,"Green Bay, Wisconsin"
S85776R5B5,P3372793,Display,151,No,1,21-Jul,C0160,P3372793,Carousel,Yes,No,No,861,0,UUewd,P3372793,Custom Audience,17,Male,47452,macOS,Desktop,Microsoft Edge,"Milwaukee, Wisconsin"
9QJ1EF6ECA,P6908348,Display,154,No,3,21-Dec,C0213,P6908348,Video,Yes,No,No,376,0,UQyXi,P6908348,3P Audience,51,Male,139381,macOS,Laptop,Microsoft Edge,"Madison, Wisconsin"
CQLCFVD85F,P9634943,Display,473,No,4,21-Mar,C0230,P9634943,Banner,Yes,Yes,Yes,242,451,U3ffs,P9634943,3P Audience,17,Female,48648,iOS,Tablet,Safari,"Green Bay, Wisconsin"
B4QC5J9RPQ,O4345455,Direct,153,No,1,21-Jul,C0154,O4345455,Carousel,Yes,No,No,0,0,UQImo,O4345455,1P Audience,50,Female,183965,Android,Tablet,Microsoft Edge,"Madison, Wisconsin"
B2APKVBUIH,O3289192,Direct,132,Yes,2,21-Apr,C0198,O3289192,Video,Yes,No,No,0,0,UKCJA,O3289192,Custom Audience,19,Male,41580,Linux,Laptop,Mozilla Firefox,"Milwaukee, Wisconsin"
RV33KGF6IH,P7124863,Display,420,No,5,21-Sep,C0164,P7124863,Carousel,Yes,Yes,Yes,305,264,Uy1Se,P7124863,3P Audience,38,Male,96777,iOS,Smartphone,Safari,"Madison, Wisconsin"
MC9UETVNZE,P4085010,Display,94,No,2,21-Aug,C0105,P4085010,Video,No,No,No,737,0,UOLDx,P4085010,3P Audience,20,Male,40641,Android,Tablet,Microsoft Edge,"Green Bay, Wisconsin"
5Q18NSFZ6C,O9130192,SEO,148,No,3,21-Jan,C0232,O9130192,Banner,No,No,No,0,0,UQyXi,O9130192,1P Audience,51,Male,139381,iOS,Tablet,Safari,"Madison, Wisconsin"
A9PCQACHJ6,P8727567,Paid Search,105,No,2,21-Oct,C0222,P8727567,Carousel,No,No,No,762,0,Um7p0,P8727567,3P Audience,17,Female,40810,Windows,Desktop,Microsoft Edge,"Madison, Wisconsin"
37BB9CBOZ5,O7210231,SEO,116,No,1,21-Oct,C0064,O7210231,Banner,No,No,No,0,0,UFusg,O7210231,1P Audience,23,Male,55641,macOS,Desktop,Microsoft Edge,"Milwaukee, Wisconsin"
LXZTIAUIWH,O3881558,Direct,112,No,3,21-Jan,C0101,O3881558,Banner,Yes,No,No,0,0,U8p9m,O3881558,Custom Audience,26,Female,66560,Linux,Laptop,Mozilla Firefox,"Milwaukee, Wisconsin"
LFUIB75PUF,O3801087,SEO,87,Yes,3,21-Apr,C0117,O3801087,Carousel,Yes,Yes,No,0,0,UgAwk,O3801087,1P Audience,30,Male,61584,iOS,Smartphone,Safari,"Milwaukee, Wisconsin"
H7BNIHS0XS,O9674809,Referral,79,No,1,21-Mar,C0172,O9674809,Video,Yes,No,No,0,0,UT0JV,O9674809,3P Audience,30,Female,65680,iOS,Smartphone,Safari,"Madison, Wisconsin"
CW4OPJJ05S,O9234580,Direct,179,Yes,2,21-Apr,C0003,O9234580,Carousel,Yes,No,No,0,0,U5FS9,O9234580,1P Audience,17,Female,56775,Android,Smartphone,Microsoft Edge,"Green Bay, Wisconsin"
QPE4OSE0BU,P8809643,Paid Search,582,No,5,21-Nov,C0111,P8809643,Video,Yes,Yes,Yes,520,196,UxBhR,P8809643,1P Audience,19,Male,50941,Windows,Desktop,Microsoft Edge,"Madison, Wisconsin"
EPMFJGNUYS,P4768673,Paid Search,60,No,3,21-Mar,C0239,P4768673,Carousel,No,No,No,877,0,Uqqyq,P4768673,Custom Audience,44,Female,100187,Windows,Desktop,Microsoft Edge,"Madison, Wisconsin"
R1F0NNY0C2,O1724881,SEO,351,No,5,21-Mar,C0203,O1724881,Carousel,Yes,Yes,Yes,0,869,Ue1mo,O1724881,Custom Audience,51,Male,128867,macOS,Desktop,Microsoft Edge,"Milwaukee, Wisconsin"
ND13C4176R,P1248270,Display,418,No,4,21-Oct,C0233,P1248270,Video,Yes,Yes,Yes,603,249,UX4ql,P1248270,Custom Audience,39,Male,108333,Linux,Laptop,Mozilla Firefox,"Madison, Wisconsin"
F7RIWUIP3T,O5454103,Referral,165,No,3,21-May,C0150,O5454103,Carousel,Yes,Yes,No,0,0,Uy1Se,O5454103,Custom Audience,38,Male,96777,macOS,Desktop,Microsoft Edge,"Milwaukee, Wisconsin"
JRARSBDLUW,P9801372,Paid Search,353,No,5,21-Feb,C0182,P9801372,Carousel,Yes,Yes,Yes,859,373,U9Ag7,P9801372,3P Audience,26,Male,63133,iOS,Tablet,Safari,"Milwaukee, Wisconsin"
YSZLHF13NB,P7847598,Paid Search,143,No,3,21-Aug,C0049,P7847598,Carousel,Yes,No,No,193,0,UJAyv,P7847598,Custom Audience,49,Female,152668,iOS,Smartphone,Safari,"Madison, Wisconsin"
NLPRFEXBGP,O9238126,Direct,165,No,1,21-Dec,C0189,O9238126,Video,Yes,No,No,0,0,UkxZn,O9238126,Custom Audience,33,Male,77836,Windows,Desktop,Microsoft Edge,"Green Bay, Wisconsin"
4RJP3X42DC,O3964755,Direct,145,No,1,21-Sep,C0056,O3964755,Video,Yes,No,No,0,0,UVV2c,O3964755,3P Audience,19,Female,57298,Windows,Desktop,Microsoft Edge,"Madison, Wisconsin"
SYKB8QQ1W4,P6603246,Display,119,No,1,21-May,C0034,P6603246,Banner,Yes,No,No,378,0,Us4SU,P6603246,Custom Audience,28,Male,79441,Windows,Laptop,Microsoft Edge,"Green Bay, Wisconsin"
W711NBIRN9,O3717691,SEO,539,No,6,21-Mar,C0048,O3717691,Banner,Yes,Yes,Yes,0,751,UrNhf,O3717691,3P Audience,41,Male,82216,macOS,Desktop,Microsoft Edge,"Madison, Wisconsin"
